id;longitude;latitude;name;name_en;name_fr;name_es;name_de;name_it;visit_time_min;visit_time_max;price_min;price_max;type_id;street;postal_code;phone;mail;website;resa_link;url_img1;url_img2;desc;desc_en;desc_fr;desc_es;desc_de;desc_it;withchild
13;5.30795653312543;43.3626024137508;Jardin de la Falaise;;;;;;20;60;-1;-1;1;Boulevard Falaise;13016;;;;;;;Jardins;;;;;;1
14;5.38676405106439;43.2877554124749;Jardin Michel Lévy;;;;;;20;60;-1;-1;1;Rue Pierre Laurent;13006;;;;;;;Jardins;;;;;;1
15;5.40185816302372;43.2692466613812;Jardin Gérald Neveu;;;;;;20;60;-1;-1;1;Rue Raymond Teisseire;13008;;;;;;;Jardins;;;;;;1
16;5.3696793752407;43.3662385006574;Jardin Georges Brassens;;;;;;20;60;-1;-1;1;Boulevard de la Savine;13015;;;;;;;Jardins;;;;;;1
17;5.41221252283616;43.3001660422405;Jardin Aspirant Versini;;;;;;20;60;-1;-1;1;Boulevard Merle;13012;;;;;;;Jardins;;;;;;1
18;5.37769662396174;43.281991639099;Jardin Lacédémone;;;;;;20;60;-1;-1;1;Rue Lacédémone;13006;;;;;;;Jardins;;;;;;1
19;5.41512149786766;43.2592995296954;Jardin de la Mathilde;;;;;;20;60;-1;-1;1;Boulevard de la Gaye;13009;;;;;;;Jardins;;;;;;1
20;5.41880900990005;43.2686845949954;Les Micocouliers;;;;;;20;60;-1;-1;1;Boulevard Paul Claudel;13010;;;;;;;Jardins;;;;;;1
21;5.39711728902392;43.2611343794887;Jardin du corbusier;;;;;;20;60;-1;-1;1;Boulevard Michelet;13008;;;;;;;Jardins;;;;;;1
22;5.38421993461863;43.260518785845;Jardin Botanique;;;;;;20;60;-1;-1;1;Parc Borely;13008;;;;;;;Jardins;;;;;;1
23;5.38097666837059;43.30169850873;Square des Marseillaises;;;;;;20;60;-1;-1;1;Place des Marseillaises;13001;;;;;;;Jardins;;;;;;1
24;5.37279138797084;43.2386197410988;Jardin des Aloades;;;;;;20;60;-1;-1;1;Traverse Prat;13008;;;;;;;Jardins;;;;;;1
25;5.37527400552376;43.2904245163191;Jardin du Juge Michel;;;;;;20;60;-1;-1;1;Place Monthyon;13006;;;;;;;Jardins;;;;;;1
26;5.43289426414391;43.2980927073834;Jardin de la Perrine;;;;;;20;60;-1;-1;1;Traverse de la Fourragere;13012;;;;;;;Jardins;;;;;;1
27;5.36381651000546;43.2412714879835;Jardin des Reinettes;;;;;;20;60;-1;-1;1;Promenade du Grand Large;13008;;;;;;;Jardins;;;;;;1
28;5.36139198410673;43.2924282626326;Square Manouchian;;;;;;20;60;-1;-1;1;Boulevard Charles Livon;13007;;;;;;;Jardins;;;;;;1
29;5.34226362601711;43.3691243620872;Jardin du Pradel;;;;;;20;60;-1;-1;1;Boulevard Henri Barnier;13015;;;;;;;Jardins;;;;;;1
30;5.36588079115469;43.291976380893;Jardin du Carénage;;;;;;20;60;-1;-1;1;Place du Carénage;13007;;;;;;;Jardins;;;;;;1
